URL,Color,Shade,Length,Style,Neckline,Back,Hemline,Strap,Print,Pockets,Embroidery,Sequins,Cut-outs,metallic shine,Color 1,Shade 1,Color 2,Shade 2,Color 3,Shade 3,Color 4,Shade 4
http://www.bcbg.com/en/cassandra-striped-lace-dress/GSD65H66-V4Q.html?dwvar_GSD65H66-V4Q_color=V4Q#start=1,7,3,1,0,10,6,0,2,5,0,1,0,1,0,,,,,,,,
http://www.bcbg.com/en/jenissa-blossoms-print-wrap-dress/XJP63J80-D53.html?dwvar_XJP63J80-D53_color=D53#start=1,11,/,2,0,1,6,0,5,5,0,0,0,0,0,9,1,2,7,7,12,0,2
http://www.bcbg.com/en/runway-dot-dress/NSP60I16-I1J.html?dwvar_NSP60I16-I1J_color=I1J#start=1,11,/,1,4,3,4,1,1,2,0,0,0,1,0,9,1,7,3,,,,
http://www.bcbg.com/en/lanna-high-low-draped-ruffle-dress/WQR60I03-6R3.html?dwvar_WQR60I03-6R3_color=6R3#start=1,2,4,3,6,10,6,1,2,0,0,0,0,0,0,,,,,,,,
http://www.bcbg.com/en/inesa-tapestry-print-kaftan-dress/YYU62I22-9J1.html?dwvar_YYU62I22-9J1_color=9J1#start=1,11,/,1,0,10,6,0,5,5,0,0,0,0,0,2,5,,,,,,
http://www.bcbg.com/en/olivia-geometric-print-kaftan-dress/XQS60I74-4D6.html?dwvar_XQS60I74-4D6_color=4D6#start=1,11,/,7,7,3,6,0,6,5,0,1,0,0,0,9,1,3,5,2,4,,
http://www.bcbg.com/en/natallie-asymmetrical-jersey-dress/UFE69H60-G8L.html?dwvar_UFE69H60-G8L_color=G8L#start=1,2,4,4,6,10,6,1,2,0,0,0,0,0,0,,,,,,,,
http://www.bcbg.com/en/jacky-geometric-embroidered-dress/ZMV62I19-D63.html?dwvar_ZMV62I19-D63_color=D63#start=1,11,/,1,4,3,6,0,5,5,0,1,0,0,0,9,1,3,5,,,,
http://www.bcbg.com/en/izabel-ikat-scroll-print-maxi-dress/ZRG61I81-8G8.html?dwvar_ZRG61I81-8G8_color=8G8#start=1,11,/,7,3,6,1,5,5,6,0,0,0,0,0,3,5,9,5,,,,
http://www.bcbg.com/en/noely-ikat-print-tunic-dress/RYF62I48-8G8.html?dwvar_RYF62I48-8G8_color=8G8#start=1,11,/,1,6,10,6,0,5,6,0,1,0,0,0,3,5,9,5,,,,
http://www.bcbg.com/en/cristen-medallion-print-high-low-dress/QWY61I17-6D4.html?dwvar_QWY61I17-6D4_color=6D4#start=1,11,/,1,6,4,6,1,5,6,0,1,0,0,0,2,4,1,19,,,,
